Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Setting/Category/Edit category/Name""))",Chrome 110.0.0.0,,,2023-02-10 12:15:41,2023-02-10 12:15:42,0.725s,PASSED
"click(findTestObject(""Setting/Category/Delete category/Delete button""))",Chrome 110.0.0.0,,,2023-02-10 12:15:42,2023-02-10 12:16:14,31.797s,FAILED
,,,,,,,
Test Cases/Setting/TC21_Add major,Chrome 110.0.0.0,,,2023-02-10 12:16:14,2023-02-10 12:16:22,8.401s,PASSED
"click(findTestObject(""Setting/Major/Add major/Major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:15,2023-02-10 12:16:16,1.262s,PASSED
"click(findTestObject(""Setting/Major/Add major/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:16:16,2023-02-10 12:16:18,1.629s,PASSED
"verifyElementText(findTestObject(""Setting/Major/Add major/Create Major""), ""Create Major"")",Chrome 110.0.0.0,,,2023-02-10 12:16:18,2023-02-10 12:16:18,0.547s,PASSED
"setText(findTestObject(""Setting/Major/Add major/Major title""), ""Test major add"")",Chrome 110.0.0.0,,,2023-02-10 12:16:18,2023-02-10 12:16:19,0.948s,PASSED
"setText(findTestObject(""Setting/Major/Add major/Desc""), ""Test major add"")",Chrome 110.0.0.0,,,2023-02-10 12:16:19,2023-02-10 12:16:20,1.098s,PASSED
"click(findTestObject(""Setting/Major/Add major/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:20,2023-02-10 12:16:22,1.819s,PASSED
,,,,,,,
Test Cases/Setting/TC22_Add major tanpa mengisi form,Chrome 110.0.0.0,,,2023-02-10 12:16:22,2023-02-10 12:16:30,7.573s,PASSED
"click(findTestObject(""Setting/Major/Add major/Major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:23,2023-02-10 12:16:27,3.685s,PASSED
"click(findTestObject(""Setting/Major/Add major/Add Data""))",Chrome 110.0.0.0,,,2023-02-10 12:16:27,2023-02-10 12:16:28,1.361s,PASSED
"verifyElementText(findTestObject(""Setting/Major/Add major/Create Major""), ""Create Major"")",Chrome 110.0.0.0,,,2023-02-10 12:16:28,2023-02-10 12:16:29,0.480s,PASSED
"click(findTestObject(""Setting/Major/Add major/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:29,2023-02-10 12:16:30,0.642s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:16:30,2023-02-10 12:16:30,0.105s,PASSED
,,,,,,,
Test Cases/Setting/TC23_View major,Chrome 110.0.0.0,,,2023-02-10 12:16:30,2023-02-10 12:16:32,2.620s,PASSED
"setText(findTestObject(""Setting/Major/View major/Search""), ""Sistem Informasi"")",Chrome 110.0.0.0,,,2023-02-10 12:16:31,2023-02-10 12:16:32,0.994s,PASSED
"verifyElementText(findTestObject(""Setting/Major/View major/Sistem Informasi""), ""Sistem Informasi"")",Chrome 110.0.0.0,,,2023-02-10 12:16:32,2023-02-10 12:16:32,0.533s,PASSED
,,,,,,,
Test Cases/Setting/TC24_Edit major,Chrome 110.0.0.0,,,2023-02-10 12:16:32,2023-02-10 12:16:43,10.617s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Major""))",Chrome 110.0.0.0,,,2023-02-10 12:16:33,2023-02-10 12:16:34,0.973s,PASSED
"setText(findTestObject(""Setting/Major/Edit major/Search""), ""edit"")",Chrome 110.0.0.0,,,2023-02-10 12:16:34,2023-02-10 12:16:35,1.068s,PASSED
"click(findTestObject(""Setting/Major/Edit major/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:16:35,2023-02-10 12:16:37,1.907s,PASSED
"verifyElementText(findTestObject(""Setting/Major/Edit major/Update Major Test major edit""), ""Update Major Test Major Edit"")",Chrome 110.0.0.0,,,2023-02-10 12:16:37,2023-02-10 12:16:38,0.537s,PASSED
"clearText(findTestObject(""Setting/Major/Edit major/Major title""))",Chrome 110.0.0.0,,,2023-02-10 12:16:38,2023-02-10 12:16:39,0.563s,PASSED
"setText(findTestObject(""Setting/Major/Edit major/Major title""), ""Test major edit baru"")",Chrome 110.0.0.0,,,2023-02-10 12:16:39,2023-02-10 12:16:39,0.932s,PASSED
"clearText(findTestObject(""Setting/Major/Edit major/Desc""))",Chrome 110.0.0.0,,,2023-02-10 12:16:39,2023-02-10 12:16:40,0.838s,PASSED
